id,organization_id,title,subtitle,description,sku,product_code,width,width_units,height,height_units,length,length_units,weight,weight_units,quantity_unit,bulk_quantity,pallet_quantity,subcategory,category,active,prep_time_seconds,lead_time_hours,price_type,taxable,search_keywords,item_role,valid_from,valid_until,deleted_at
itm_2_4_lumber,org_sunpro,2x4 Lumber,Standard Grade,"Premium quality 2x4 lumber, perfect for framing and construction projects",SP-2X4-STD,DDRKPB,11.32,ft,2.61,ft,17.25,in,211.92,oz,piece,169,73,dimensional_lumber,dimensional_lumber_and_composites,true,"2,710",162,fixed,true,"[""Unbranded"" ""Electronic"" ""Refined"" ""Ergonomic"" ""Sleek"" ""Licensed"" ""Luxurious""]",inventory,"February 27, 2026, 4:18 PM",,
itm_4_8_plywood,org_sunpro,4x8 Plywood,CDX Grade,"Exterior grade plywood, ideal for sheathing and structural applications",SP-PLY-CDX,WQUFD8,4.57,in,11.07,ft,2.17,ft,108.6,oz,box,479,29,plywood,dimensional_lumber_and_composites,true,"1,090",37,variable,true,"[""Tasty"" ""Rustic"" ""Practical"" ""Fantastic"" ""Refined"" ""Practical"" ""Handcrafted"" ""Sleek""]",inventory,"February 27, 2026, 4:18 PM",,
itm_pressure_treated_lumber,org_sunpro,Pressure Treated Lumber,Ground Contact,Pressure treated lumber suitable for ground contact applications,SP-PT-GC,WTOEO8,6.05,ft,5.65,in,19.05,in,356.05,oz,piece,156,39,pressure_treated,dimensional_lumber_and_composites,true,405,116,variable,true,"[""Modern"" ""Tasty"" ""Frozen"" ""Practical"" ""Bespoke""]",inventory,"February 27, 2026, 4:18 PM",,
itm_rebar,org_clydeco,Rebar,Grade 60,High-strength rebar for concrete reinforcement,CC-RB-60,3OROKS,10.11,ft,5.34,in,17.87,ft,312.47,oz,piece,607,13,rebar,rebar_and_reinforcement,true,"2,233",76,fixed,true,"[""Frozen"" ""Frozen"" ""Intelligent"" ""Oriental"" ""Unbranded"" ""Awesome"" ""Handmade"" ""Luxurious""]",inventory,"February 27, 2026, 4:18 PM",,
itm_steel_plate,org_clydeco,Steel Plate,A36 Grade,Structural steel plate for heavy-duty applications,CC-ST-A36,JAVVTN,8.12,ft,9.14,ft,22.78,ft,342.26,oz,box,985,64,steel,metals_and_metal_fabrication,true,"2,807",115,variable,true,"[""Unbranded"" ""Elegant"" ""Unbranded"" ""Fresh"" ""Fantastic"" ""Intelligent"" ""Licensed"" ""Frozen""]",inventory,"February 27, 2026, 4:18 PM",,
itm_metal_studs,org_clydeco,Metal Studs,20 Gauge,Light gauge metal studs for interior framing,CC-MS-20,JJGADO,3.82,ft,3.09,in,10.7,in,286.68,oz,pallet,397,45,metal_studs,framing_materials,true,"3,137",137,variable,true,"[""Gorgeous"" ""Intelligent"" ""Unbranded"" ""Luxurious""]",inventory,"February 27, 2026, 4:18 PM",,
itm_drywall_sheet,org_lowes,Drywall Sheet,1/2 inch,"Standard 1/2 inch drywall sheet, perfect for interior walls and ceilings",LW-DW-12,P4YXUM,10.87,ft,1.64,in,22.64,in,26.92,lbs,piece,382,79,drywall,drywall_and_accessories,true,"3,136",92,fixed,true,"[""Electronic"" ""Elegant"" ""Refined"" ""Small"" ""Fresh""]",inventory,"February 27, 2026, 4:18 PM",,
itm_paint_gallon,org_lowes,Interior Paint,1 Gallon - Eggshell Finish,"Premium interior paint with eggshell finish, excellent coverage and durability",LW-PT-IGL-EG,GM0LPK,3.7,in,4.24,in,2.75,in,284.44,lbs,pallet,232,82,paint,paint_supplies,true,"2,946",5,variable,true,"[""Electronic"" ""Refined"" ""Elegant"" ""Incredible"" ""Electronic"" ""Luxurious""]",inventory,"February 27, 2026, 4:18 PM",,
itm_drill_set,org_lowes,Cordless Drill Set,20V Lithium-Ion,Professional-grade cordless drill with battery and charger included,LW-DR-20V,PAKTNI,6.36,in,1.71,ft,15.12,in,28.47,oz,piece,806,37,power_tools,general_fasteners_and_hardware,true,"1,842",157,variable,true,"[""Licensed"" ""Modern"" ""Modern""]",inventory,"February 27, 2026, 4:18 PM",,
itm_3ec28c1281f8,org_sunpro,Concrete Windows,Concrete Windows - 3x12,"Introducing the Mauritania-inspired Pants, blending worthy style with local craftsmanship",SP-6PFCEC,NXCMOI,11.36,in,11.59,ft,11.9,in,471.06,lbs,box,618,60,windows,windows,true,691,68,fixed,true,"[""Refined"" ""Ergonomic"" ""Recycled"" ""Soft"" ""Incredible"" ""Soft"" ""Handmade""]",inventory,"February 27, 2026, 4:18 PM",,
